C,N,cycles:u,cycles:k,cycles,instructions:u,instructions:k,instructions,cache-misses:u,cache-misses:k,cache-misses,LLC-loads:u, LLC-loads:k,LLC-loads,LLC-load-misses:u,LLC-load-misses:k,LLC-load-misses,LLC-store-misses:u,LLC-store-misses:k,LLC-store-misses
35,114285,36017223,43912292,77617945,71429958,24738173,97395732,690410,782134,1472584,27444,28613,64750,52752,70021,<not counted>,<not counted>,<not counted>,<not counted>,,
36,111111,37805733,44903362,79237731,69334370,28009296,94750769,702503,814522,1517075,27062,29604,61761,43050,44677,<not counted>,<not counted>,<not counted>,<not counted>,,
37,108108,35015992,44335604,77079766,69257050,24929674,95641012,680826,774154,1455042,26100,28433,62806,48607,64662,<not counted>,<not counted>,<not counted>,<not counted>,,
38,105263,39555341,42809200,76227401,67978842,26823762,95491755,699785,799432,1499263,26331,27719,59961,42732,57534,<not counted>,<not counted>,<not counted>,<not counted>,,
39,102564,35652093,42955936,76066297,67524119,24555376,94061996,706650,763155,1469859,24649,27724,60098,49504,68925,<not counted>,<not counted>,<not counted>,<not counted>,,
40,100000,9656922,43548893,77332144,66427043,28863382,91731666,688620,787771,1476461,27122,30499,58808,38973,39574,<not counted>,<not counted>,<not counted>,<not counted>,,
41,97560,37126930,43052401,76032959,65585648,25194972,92629983,691378,776347,1467771,24448,27875,58560,42875,61391,<not counted>,<not counted>,<not counted>,<not counted>,,
42,95238,35115566,44965184,77921081,66113504,24815530,92584683,734809,795386,1530236,25721,30593,65289,53484,74025,<not counted>,<not counted>,<not counted>,<not counted>,,
43,93023,39257386,43586279,76459832,64416219,27048600,88980602,731224,777331,1508597,26342,29097,59092,39852,46894,<not counted>,<not counted>,<not counted>,<not counted>,,
44,90909,20500064,43017152,75842983,63275160,27244740,89709139,669350,787251,1456654,25357,28638,57504,39502,45678,<not counted>,<not counted>,<not counted>,<not counted>,,
45,88888,35236849,43511408,75413773,62815301,24590702,90193701,678959,763033,1442032,23423,28121,58753,44648,64632,<not counted>,<not counted>,<not counted>,<not counted>,,
46,86956,23403686,43326136,75670089,61796734,27062808,88859124,688579,777495,1466104,23834,28424,55786,37772,47980,<not counted>,<not counted>,<not counted>,<not counted>,,
47,85106,34416700,45643645,78229251,64561345,23232287,89151147,737981,765773,1503805,23373,29087,62412,40815,112221,<not counted>,<not counted>,<not counted>,<not counted>,,
48,83333,33753325,44069818,75202115,61015901,24104119,89136933,688648,778175,1466872,24775,29608,63806,51043,83709,<not counted>,<not counted>,<not counted>,<not counted>,,
49,81632,9523833,42682547,74437193,60709261,26756481,86198886,676759,771200,1448016,23176,29817,54900,36166,47576,<not counted>,<not counted>,<not counted>,<not counted>,,
50,80000,32318251,44354418,74856214,60073340,22905540,88149202,678272,773004,1451333,24223,29696,64121,43253,134265,<not counted>,<not counted>,<not counted>,<not counted>,,
51,78431,27167621,42807264,74215185,59332958,25984129,87088953,686340,764055,1450439,24654,29259,57485,38412,49273,<not counted>,<not counted>,<not counted>,<not counted>,,
52,76923,0,42873780,74355946,58938788,27372585,84791274,685964,770429,1456437,24244,30906,55419,36781,42381,<not counted>,<not counted>,<not counted>,<not counted>,,
53,75471,32871128,43444492,73707356,58530161,23309962,86405206,679697,763024,1442774,22699,29121,59177,46762,91177,<not counted>,<not counted>,<not counted>,<not counted>,,
54,74074,39672274,43456788,74129039,57917895,25715285,86474916,685614,770242,1455907,24680,28387,58547,40819,57595,<not counted>,<not counted>,<not counted>,<not counted>,,
55,72727,38953020,41720311,72144370,56928440,25259904,85624555,694060,757468,1451581,22435,27498,53382,38440,58101,<not counted>,<not counted>,<not counted>,<not counted>,,
56,71428,39206085,43652581,74293545,56930818,25637992,85701178,690257,765444,1455726,23912,28361,57979,41748,54376,<not counted>,<not counted>,<not counted>,<not counted>,,
57,70175,22372312,42652761,73443881,56773728,26006523,84412364,677668,753222,1430935,22839,28814,55039,36184,54138,<not counted>,<not counted>,<not counted>,<not counted>,,
58,68965,10295550,42446755,72978926,55736439,26667487,83847965,658350,770143,1428547,23221,31927,55452,34719,47698,<not counted>,<not counted>,<not counted>,<not counted>,,
