C,N,cycles:u,cycles:k,cycles,instructions:u,instructions:k,instructions,cache-misses:u,cache-misses:k,cache-misses,LLC-loads:u, LLC-loads:k,LLC-loads,LLC-load-misses:u,LLC-load-misses:k,LLC-load-misses,LLC-store-misses:u,LLC-store-misses:k,LLC-store-misses
33,121212,23856230,43244357,61745669,33323621,26561851,60728482,632478,698123,1330628,17407,24405,49460,27586,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
34,117647,20483039,44620495,62904976,35266244,26547075,60713757,706654,700997,1407666,17129,26365,56061,22724,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
35,114285,28303388,42934835,61661020,32111679,26426137,60717458,646177,697660,1343849,17453,23973,47287,29620,122412,<not counted>,<not counted>,<not counted>,<not counted>,,
36,111111,25016925,42702472,61348534,33154534,26482506,60649162,643220,702454,1345683,17422,23563,47977,28004,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
37,108108,20872654,43032633,61220273,35174776,26570919,60737597,645448,700352,1345816,17451,25624,53914,21420,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
38,105263,33557630,42673394,61648076,31499312,25119735,60725364,630147,702103,1332264,17202,23192,45686,29470,95098,<not counted>,<not counted>,<not counted>,<not counted>,,
39,102564,23212235,43423742,61869321,33831460,26535321,60701981,623200,707379,1330589,16829,25167,50205,25100,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
40,100000,22650953,43602560,61807238,33835966,26537949,60703893,642385,698915,1341313,17118,25011,50322,26547,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
41,97560,26565800,42893220,61573793,32774661,26544044,60710408,644591,701988,1346603,17410,24120,48292,28325,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
42,95238,29098079,42994575,61714809,32154085,26572847,60739490,631418,699554,1330992,17267,24501,47457,29553,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
