C,N,cycles:u,cycles:k,cycles,instructions:u,instructions:k,instructions,cache-misses:u,cache-misses:k,cache-misses,LLC-loads:u, LLC-loads:k,LLC-loads,LLC-load-misses:u,LLC-load-misses:k,LLC-load-misses,LLC-store-misses:u,LLC-store-misses:k,LLC-store-misses
1,4000000,7498481606,497193396,7985648009,13448538358,309555215,13904032091,32634298,9415920,43267876,616901,405067,1106734,202641,735054,815099,640,7441573,7370733,,
2,2000000,3785995510,255681500,4046435091,6840673315,185774954,6997790392,15123447,5339524,19242778,283221,183009,455299,117043,119138,266638,240,3634185,3629463,,
3,1333333,2590892924,155291295,2748829388,4607767305,147084135,4772053068,11440586,3839903,15195720,226317,223633,428799,59955,24056,92340,45,2526076,2527121,,
4,1000000,1980725620,169050507,2149642368,3461991783,144142828,3597334858,8051378,3684952,10881977,137811,112905,256473,76850,63479,167316,214,2254835,2252665,,
5,800000,1614191367,126862284,1740495777,2863416658,77740498,2989807101,8347561,2245734,11790592,173597,162789,333652,40715,18648,93758,29,2118182,2109281,,
6,666666,1403115709,119468614,1517205560,2393308897,81458686,2474687638,5628573,2764428,9877575,215844,93805,392257,92105,108613,187730,0,1857753,1883610,,
7,571428,1181573522,122126403,1307775977,2161605216,94757125,2255250192,6545581,2355817,7168539,131346,69870,199649,42482,38844,146385,409,1681010,1669750,,
8,500000,1119537903,102465522,1221536285,1906295024,67839618,1951276668,6423308,2267390,9752333,322976,140349,451756,41352,15823,72245,151,1709885,1708800,,
9,444444,961706697,114471644,1078417655,1687595857,89542870,1816859074,6334594,2260679,7602128,153285,64497,239444,40028,31475,82054,206,1521887,1524245,,
10,400000,881228458,115972105,999386792,1616099090,72716100,1718090651,6698628,1928790,8728775,111769,73500,272519,234018,87519,288868,4975,1580109,1583526,,
11,363636,848358567,79023940,916935839,1514641931,54360061,1496262872,7566548,1946786,9483849,206550,132130,314157,23909,12228,50855,76,1216958,1253782,,
12,333333,781614844,91698379,870374162,1265791132,90420532,1315879278,7015012,2391147,8611857,267719,119871,324359,37433,12097,70826,72,1509304,1507105,,
13,307692,702268092,109813879,810905051,1128820557,88252459,1247217395,5437080,2072968,5781390,68164,36414,112120,46365,20839,85803,3939,1423897,1432998,,
14,285714,667005651,117672325,782869400,1060754642,89448719,1193748931,4710403,2120735,5614059,95871,46472,158740,90651,21808,188320,103559,1477656,1606697,,
15,266666,618876047,118962841,744050758,1073021649,81945489,1245272421,3667326,1477345,6097765,110142,38704,190423,151482,19981,275926,108890,1643724,1781946,,
16,250000,582947378,88720536,676820984,1118441488,46973688,1169255453,4369817,1479291,6757361,137054,106577,248626,16830,34148,60841,22,2062150,1842620,,
17,235294,580883323,59837566,641699657,1079827853,50520856,1136680979,5212718,1619074,6498158,125066,110844,230960,16333,15182,41975,48,1192313,1101976,,
18,222222,573315210,53498799,625073351,1045282580,49812421,1060850598,5039590,1799038,6544601,226916,115150,293162,18156,13782,45005,41,961850,918015,,
19,210526,547474767,52418789,591334398,1007834328,64161871,983842305,4813040,1857287,6207650,172495,111459,231540,19542,11858,42346,24,659954,660292,,
20,200000,543992461,60465490,597877216,924904916,69006664,918285359,4662502,2025941,6208995,266967,87907,288672,21236,10658,41676,90,703902,705093,,
21,190476,521425504,60130638,575909075,837663430,71246084,844922170,4160894,2138290,5692473,199033,88561,189336,19437,9272,106406,81,679049,685062,,
22,181818,510651834,61402828,569420352,797603829,72803777,810323895,4216455,2200627,5872468,273834,87349,246752,20338,10250,114890,153,686485,695281,,
23,173913,487108654,75277685,547366451,715847423,75338413,770454785,3621023,2212237,5452227,175594,85057,136277,47993,9756,244719,149,674570,741638,,
24,166666,485727594,78524726,545175634,694200004,79298408,756990861,3681484,2227781,5609754,135978,92225,111206,59341,9836,242107,81,721085,782977,,
25,160000,439652903,87516107,521442528,643993644,84248035,730521211,3276833,2165269,4850351,108234,36611,164052,180422,18303,335706,61,761318,888188,,
26,153846,433132801,93034810,521645679,618590509,87955648,709037914,3441195,2248532,5159433,85861,39603,174182,221458,31812,377803,66,848845,964114,,
27,148148,400491219,102971806,502613561,599503736,77124935,733141776,3020902,1988245,4580597,110430,31792,210093,216338,31910,388200,211,991722,1150056,,
28,142857,388099601,109499547,495994534,582855707,80207296,732027985,3012929,1951608,4636996,113652,31291,218725,222132,31524,383955,113,1119532,1284585,,
29,137931,384118178,105631570,486097456,570162580,77644519,725201009,3088537,1917284,4555588,114367,37660,188311,178583,31018,343337,271,1048716,1214635,,
30,133333,366521840,111967205,475067314,569893838,81638581,740790373,3042091,1773500,4664366,158596,41379,258806,203171,40869,328672,215,1431370,1583719,,
31,129032,338937936,116334347,455624302,567183518,81186226,722821406,2944700,1622935,4550793,148529,48428,237850,172807,51957,247140,121,1566264,1702692,,
32,125000,334684974,125094674,459215140,581136541,80333367,740524975,3051060,1598383,4610226,200216,45667,282346,193114,54712,274583,239,1743329,1871567,,
