C,N,cycles:u,cycles:k,cycles,instructions:u,instructions:k,instructions,cache-misses:u,cache-misses:k,cache-misses,LLC-loads:u, LLC-loads:k,LLC-loads,LLC-load-misses:u,LLC-load-misses:k,LLC-load-misses,LLC-store-misses:u,LLC-store-misses:k,LLC-store-misses
30,133333,1564321,1326288,2891813,2123800,1140259,3264059,18173,14987,33163,4200,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
31,129032,1627429,1428022,3056127,2123798,1129740,3253538,22863,19588,42458,4237,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
32,125000,1555440,1334773,2891213,2123797,1144297,3268094,18582,15527,34114,4095,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
33,121212,1543658,1297223,2841950,2123809,1091453,3215262,18760,14079,32848,4113,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
34,117647,607285,1460860,3018462,2123800,1176493,3300293,18701,16374,35084,4258,5485,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
35,114285,1614318,1457327,3072600,2123797,1096342,3220139,22994,20830,43839,4252,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
36,111111,1552316,1355508,2908956,2123797,1151342,3275139,19026,15943,34977,4213,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
37,108108,1561367,1362820,2925402,2123800,1134838,3258638,19495,16305,35808,4174,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
38,105263,1546298,1461907,3044872,2123809,1152020,3275829,19258,18493,37755,4675,7040,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
39,102564,1554952,1333903,2889998,2123800,1118627,3242427,19232,16045,35282,4099,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
40,100000,1596097,1382982,2980182,2123794,1088293,3212087,22396,18531,40935,4224,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
41,97560,1565359,1358050,2924457,2123785,1115010,3238795,19699,16370,36076,4218,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
42,95238,1558528,1317699,2877325,2123795,1131184,3254979,19133,15269,34410,4191,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
43,93023,1606383,1426996,3034486,2123797,1131640,3255437,22462,19155,41638,4176,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
44,90909,1677421,1559717,3238129,2123782,1107936,3231718,22695,21326,44032,4191,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
45,88888,1641556,1468866,3111569,2123786,1160710,3284496,22526,20969,43500,4265,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
46,86956,1570058,1351617,2922623,2123785,1120278,3244063,18878,15394,34277,4131,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
47,85106,1562448,1513496,3077098,2123784,1141180,3264964,19078,20603,39690,4262,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
48,83333,1548567,1325322,2874810,2123808,1082220,3206028,19102,14893,34000,4317,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
49,81632,652260,1381909,2941579,2123811,1160673,3284484,19611,16952,36571,4288,5560,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
50,80000,1684279,1420660,2990139,2123786,1137728,3261514,19812,18138,37958,4163,21934,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
51,78431,1622120,1430963,3054129,2123798,1120336,3244134,24358,21443,45811,4186,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
52,76923,1599466,1387291,2987697,2123811,1108524,3232335,22219,17795,40033,4168,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
53,75471,1574644,1340732,2916585,2123794,1090190,3213984,20381,16545,36937,4186,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
54,74074,1570087,1368953,2940191,2123798,1157697,3281495,18830,15680,34515,4305,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
55,72727,1559180,1341084,2901359,2123809,1144486,3268295,18965,16163,35136,4161,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
56,71428,1556564,1369930,2927539,2123809,1126479,3250288,18843,16224,35069,4206,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
57,70175,1547817,1329252,2878164,2123806,1091492,3215298,18552,14759,33315,4165,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
58,68965,1553074,1338060,2892124,2123797,1144813,3268610,19080,15212,34296,4167,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
59,67796,1600279,1390139,2991351,2123806,1112843,3236649,21673,19322,41003,4269,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
60,66666,1577640,1362269,2941001,2123799,1130589,3254388,18995,16124,35125,4318,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
61,65573,920671,1379478,2949626,2123799,1122257,3246056,19370,16044,35420,4377,4926,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
