C,N,cycles:u,cycles:k,cycles,instructions:u,instructions:k,instructions,cache-misses:u,cache-misses:k,cache-misses,LLC-loads:u, LLC-loads:k,LLC-loads,LLC-load-misses:u,LLC-load-misses:k,LLC-load-misses,LLC-store-misses:u,LLC-store-misses:k,LLC-store-misses
38,105263,61612473,100512958,161596117,124868981,68102165,186429402,1174175,2125089,4078147,168336,45940,247445,139767,38813,162590,<not counted>,<not counted>,<not counted>,,
39,102564,65093900,101587878,157947642,122456583,66124583,181057392,1160118,2049747,3979429,140964,45178,220294,113576,36991,148415,<not counted>,<not counted>,<not counted>,,
40,100000,64405175,99332771,156990804,119407595,66647702,178198481,1123520,2019870,3956364,153181,48137,234411,159120,37973,174051,<not counted>,<not counted>,<not counted>,,
41,97560,60736833,95722837,150392682,114113977,64127565,171586119,1135657,1935945,3929186,130140,63424,211670,124497,39898,157101,<not counted>,<not counted>,<not counted>,,
42,95238,60972252,96804557,152469719,113086164,65165627,170027940,1116290,1950788,3911845,149533,62508,232401,153588,37342,166374,<not counted>,<not counted>,<not counted>,,
43,93023,57469162,95121241,151739483,113350507,64676725,169431821,1041283,2019460,3659721,159101,42655,228483,146239,36115,168222,<not counted>,<not counted>,<not counted>,,
44,90909,82193526,95698415,152272288,110447082,65224911,167788106,1022544,2061254,3738753,178872,42658,250883,153399,36819,170952,<not counted>,<not counted>,<not counted>,,
45,88888,79135908,94876660,149204474,108725405,63810222,164556127,1057417,1960901,3751881,171813,58398,245677,155228,36494,165856,<not counted>,<not counted>,<not counted>,,
46,86956,19039216,93595395,150049805,107044430,64910454,164350196,986342,2061716,3647770,204151,44790,269481,178230,36712,186161,<not counted>,<not counted>,<not counted>,,
47,85106,29813427,92806280,146722000,106077626,64012356,161783476,1060406,1958332,3775042,184207,60481,254372,152228,36825,163831,<not counted>,<not counted>,<not counted>,,
48,83333,60093467,95130402,146144717,101825937,63712772,158025216,1099225,1923899,3861224,161699,62635,244971,172542,41620,178032,<not counted>,<not counted>,<not counted>,,
49,81632,79207307,92429101,144053320,101361782,62754828,156057056,1055457,1927677,3758801,161603,59958,235835,146485,37189,160325,<not counted>,<not counted>,<not counted>,,
50,80000,82546566,93537484,145137137,99166831,62875643,154008314,1018391,1978983,3659879,182666,61923,259991,187704,39359,190676,<not counted>,<not counted>,<not counted>,,
51,78431,73162540,91566081,143342692,99276515,62335759,152871677,1090154,1882336,3720953,174424,60523,251724,182622,38166,178468,<not counted>,<not counted>,<not counted>,,
52,76923,70848692,95018140,146608623,99377237,64207074,154968795,1092755,1947653,3791789,173085,63052,253652,181882,38913,173769,<not counted>,<not counted>,<not counted>,,
53,75471,60182626,91481437,141556753,95139656,62044651,150156563,1111638,1854517,3810347,187348,60738,271784,180209,39699,165989,<not counted>,<not counted>,<not counted>,,
54,74074,65217430,93890658,140560879,93517003,62079937,148416349,1065989,1923157,3765270,222028,61626,304790,201139,37943,182757,<not counted>,<not counted>,<not counted>,,
55,72727,53608346,94130707,142017000,91627821,61639072,145934884,1251742,1707614,3739014,191767,61428,291757,209580,38644,155925,<not counted>,<not counted>,<not counted>,,
56,71428,73777406,93540656,144683288,94277504,63178274,148022884,1025727,1917866,3617085,218150,60290,292848,212790,37468,190728,<not counted>,<not counted>,<not counted>,,
57,70175,18555273,91195999,141714332,93128443,61757190,144880888,1038635,1874584,3591664,209528,62114,281736,199880,37424,188538,<not counted>,<not counted>,<not counted>,,
58,68965,56096008,93014213,140176516,88988680,61794176,142470018,1068091,1817416,3695448,240855,60631,335765,208786,39551,174220,<not counted>,<not counted>,<not counted>,,
59,67796,49014274,92897364,138292294,85258516,60546751,139047193,1430145,1646624,3807263,226739,61766,345654,189511,42890,171408,<not counted>,<not counted>,<not counted>,,
60,66666,57155048,93009939,140266544,86480408,61426028,139425678,1070855,1819286,3735415,243346,61490,339575,210566,40045,175572,<not counted>,<not counted>,<not counted>,,
61,65573,57532894,92591565,139463893,86653127,61090039,138068260,1099487,1726731,3624031,227615,59171,322278,223811,40419,171924,<not counted>,<not counted>,<not counted>,,
62,64516,49675060,94539755,139811807,83232957,61780203,137624476,1249765,1694517,3853218,248802,62764,370889,204253,40334,160461,<not counted>,<not counted>,<not counted>,,
63,63492,55068111,91819139,137283632,83657038,60665360,135824080,1141139,1700331,3710291,222468,60260,322991,193351,39233,155274,<not counted>,<not counted>,<not counted>,,
64,62500,48364002,92167703,136741321,80320837,60609311,133697649,1369968,1646102,3758709,221207,62767,336315,204991,41821,169942,<not counted>,<not counted>,<not counted>,,
65,61538,60842576,90943269,136456161,82676859,60021752,133310182,1067355,1748475,3583633,221881,59293,311679,212955,38864,177027,<not counted>,<not counted>,<not counted>,,
66,60606,49021449,91971779,136230817,79597164,60270185,131873030,1182632,1654924,3627756,247175,61666,364321,247218,42692,173653,<not counted>,<not counted>,<not counted>,,
67,59701,54019897,91986346,136742139,81326353,60710012,133736593,1098996,1702556,3638018,243521,60058,346185,236855,42766,170568,<not counted>,<not counted>,<not counted>,,
68,58823,66358252,93492573,138984122,82608306,61597454,134054382,1007138,1783271,3572506,258394,60052,347109,254190,39947,197532,<not counted>,<not counted>,<not counted>,,
69,57971,50716137,94105982,138275164,79361507,60869587,132512868,1334475,1669059,3682063,225054,60718,332373,197117,42498,163416,<not counted>,<not counted>,<not counted>,,
70,57142,0,88770810,135198504,80363477,60701637,131692842,1006660,1841421,3536844,243384,65456,322460,236397,38302,200139,<not counted>,<not counted>,<not counted>,,
71,56338,54480456,91593921,135784493,78266023,60280673,129242114,1103818,1664164,3532283,242712,60385,347222,240505,40924,165501,<not counted>,<not counted>,<not counted>,,
72,55555,46894576,91945457,134990684,74773642,60104236,127601333,1354926,1601695,3670716,237975,61922,356364,241351,44473,177591,<not counted>,<not counted>,<not counted>,,
73,54794,53381587,89828846,133369651,75626854,59024722,126273477,1084234,1661525,3506182,233080,60156,335898,247846,41492,167675,<not counted>,<not counted>,<not counted>,,
74,54054,46103510,90552104,132700905,72569110,59059030,124525523,1315231,1618690,3675476,240253,61989,360621,225923,44802,178504,<not counted>,<not counted>,<not counted>,,
75,53333,27583816,87494829,132081000,75498138,58729087,125581592,1016411,1751006,3484334,236855,61141,320547,228004,38204,190208,<not counted>,<not counted>,<not counted>,,
76,52631,48980732,89700689,133056348,72110365,58665288,123219795,1030565,1687064,3518855,261568,63266,379519,260458,45257,177675,<not counted>,<not counted>,<not counted>,,
77,51948,53952845,86297602,132497970,72160741,58500420,123332326,1078723,1686200,3520587,263587,62189,376853,252077,43879,169103,<not counted>,<not counted>,<not counted>,,
78,51282,51028565,85669062,129566385,71874329,58462997,122589634,992607,1748563,3525535,275183,61511,386985,262435,41435,176319,<not counted>,<not counted>,<not counted>,,
79,50632,53023766,90764148,133282405,72988441,59403945,123214558,1124767,1623684,3555211,284676,59775,396740,287359,41519,190935,<not counted>,<not counted>,<not counted>,,
80,50000,55039622,88926240,130804663,71938143,59169775,122009508,1027501,1711988,3481237,260039,61640,367594,240718,40242,170469,<not counted>,<not counted>,<not counted>,,
81,49382,46086681,87234045,129379587,69546785,58286492,120074594,1191504,1648228,3537712,258676,62400,376185,234119,43476,177020,<not counted>,<not counted>,<not counted>,,
82,48780,67595049,88550246,130560444,71846892,58993407,121844970,971472,1740996,3297785,292094,61838,398530,305903,43032,223335,<not counted>,<not counted>,<not counted>,,
83,48192,49795413,87516182,129229320,69712983,58381689,119635392,1206336,1578957,3500090,258372,60061,369917,256969,42668,175403,<not counted>,<not counted>,<not counted>,,
84,47619,52697690,89374277,130630141,69936187,58852087,119790827,1039197,1644088,3416159,263596,60745,372596,266237,41707,174651,<not counted>,<not counted>,<not counted>,,
85,47058,53993069,86633765,132247848,68088508,57627342,117937403,1105337,1605275,3450556,271369,59784,384133,276294,43960,177518,<not counted>,<not counted>,<not counted>,,
86,46511,51785387,90445988,131433292,68585178,58839880,118965767,1131368,1620309,3481823,305829,60698,424407,313730,44777,177858,<not counted>,<not counted>,<not counted>,,
87,45977,28787798,88006233,131144806,71815504,59113929,120043166,994223,1708029,3411817,278455,59809,369720,291572,40137,202006,<not counted>,<not counted>,<not counted>,,
88,45454,44655466,89612091,129507456,65746421,58404608,117105915,1252050,1612672,3579157,290704,64579,425722,282589,46223,184524,<not counted>,<not counted>,<not counted>,,
89,44943,43144008,90900615,130262460,64463458,57944877,115237671,1416048,1518399,3398299,291004,62318,434834,263208,47185,197699,<not counted>,<not counted>,<not counted>,,
90,44444,54965775,88958766,129913736,67229490,58530800,116758247,1021749,1634129,3414607,313447,61698,430234,322027,44144,173388,<not counted>,<not counted>,<not counted>,,
91,43956,49685460,88405418,128527953,65939239,57654280,114916728,1141759,1559560,3402770,290237,61583,407899,291782,42077,175805,<not counted>,<not counted>,<not counted>,,
92,43478,46877535,88382351,127769154,64693425,58027900,114668202,1236057,1554443,3505280,314740,61838,444179,329650,44273,181704,<not counted>,<not counted>,<not counted>,,
93,43010,47232128,88490050,127872122,64382533,57647010,113859537,1298092,1517152,3453167,303122,61337,430107,309331,44883,183836,<not counted>,<not counted>,<not counted>,,
94,42553,55191173,92350700,134139120,68005548,60005987,116152864,991063,1657457,3444018,371532,60331,497217,435338,45796,202904,<not counted>,<not counted>,<not counted>,,
95,42105,43898384,92570844,131961340,63504847,58050981,113029862,1273427,1509205,3471336,377554,62290,535951,406845,47076,218580,<not counted>,<not counted>,<not counted>,,
96,41666,65736192,87069945,128577729,66101566,58392653,114316955,972393,1644754,3311129,332689,58569,443761,343615,43361,189284,<not counted>,<not counted>,<not counted>,,
97,41237,71808369,87289050,127648785,65583587,57723272,113291633,987988,1626233,3342963,329717,62353,442319,338995,45333,176273,<not counted>,<not counted>,<not counted>,,
98,40816,47219356,94383320,129998371,63537677,57953053,112891823,990201,1684111,3345886,316372,62305,451505,310869,44580,192878,<not counted>,<not counted>,<not counted>,,
99,40404,57120651,82175737,124240216,63692365,56888519,111887079,976432,1621948,3299891,315702,59324,427956,335384,44865,191279,<not counted>,<not counted>,<not counted>,,
100,40000,49449805,87450896,128680523,61804136,56958834,111255579,1070961,1619127,3398767,322277,63310,451643,320760,45552,183099,<not counted>,<not counted>,<not counted>,,
101,39603,47442197,88851308,127946581,62480726,57594461,111301542,1193554,1541285,3390512,319255,62570,447104,316449,46509,187289,<not counted>,<not counted>,<not counted>,,
102,39215,14097846,85752919,126992574,65391667,58087977,112453802,949323,1688975,3325274,333797,63260,435644,352905,39783,232712,<not counted>,<not counted>,<not counted>,,
103,38834,74582180,87704465,127597419,64505716,57396083,110984982,917203,1647705,3227439,364775,61420,478088,404600,43349,226758,<not counted>,<not counted>,<not counted>,,
